Line;LineID;Status;
Сокольническая линия;1;действует;
Замоскворецкая линия;2;действует;
Арбатско-Покровская линия;3;действует;
Филёвская линия;4;действует;
Кольцевая линия;5;действует;
Калужско-Рижская линия;6;действует;
Таганско-Краснопресненская линия;7;действует;
Калининско-Солнцевская линия;8;действует;
Серпуховско-Тимирязевская линия;9;действует;
Люблинско-Дмитровская линия;10;действует;
Каховская линия;11;действует;
Бутовская линия Лёгкого метро;12;действует;
Московская монорельсовая транспортная система;13;действует;
Кожуховская линия;14;строится;
Большая кольцевая линия;15;действует;
Московское центральное кольцо;16;действует;
Калининская линия;17;действует;
Солнцевская линия;18;действует;